id,acquiring_company_id,acquired_company_id,term_code,price_amount,acquired_at
1,11,10,,20000000,2007-05-30
7,59,72,cash,60000000,2007-07-01
8,24,132,cash,280000000,2007-05-01
9,59,155,cash,100000000,2007-06-01
10,212,215,cash,25000000,2007-07-01
11,227,228,,7140000,2003-08-05
12,5,230,cash,0,2007-07-01
14,318,314,cash,0,2006-10-01
15,20,333,stock,1500000000,2002-07-08
16,342,341,cash,350000000,2007-08-01
17,24,347,cash,5000000,2007-05-01
18,349,348,cash,13000000,2007-03-01
19,355,354,cash,300000000,2005-04-01
20,377,100,cash,0,2005-05-29
22,351,366,cash_and_stock,40000000,2006-08-14
23,307,306,cash,0,2007-08-07
24,212,394,cash,4100000,2007-08-01
26,499,495,cash,25000,2007-07-01
27,29,528,cash_and_stock,1000000000,2005-08-11
28,29,530,cash,160000000,2004-09-01
29,541,52,cash,327000000,2007-02-01
30,541,542,cash,0,2006-01-01
31,568,201,cash,15000000,2007-04-01
32,570,569,cash,560000000,2005-06-01
33,20,571,cash,620000000,2005-06-02
34,317,572,cash,0,2007-05-01
35,573,574,cash,1008000000,2005-07-01
36,583,581,cash,1250000000,2004-11-01
37,584,585,cash,128000000,2004-11-12
38,590,588,cash,0,2004-11-01
39,25,592,cash,64000000,2004-12-01
40,595,594,cash,200000000,2004-10-01
42,351,599,cash,435000000,2004-08-01
45,606,605,cash,171600000,2004-06-01
46,622,621,cash,0,2001-06-01
47,629,628,cash,0,2007-05-01
48,25,652,cash,0,2006-08-01
50,25,655,cash,102000000,2006-04-01
51,657,653,cash,8700000,2006-03-01
52,94,658,cash,600000000,2006-03-01
53,660,663,cash,64300000,2005-12-01
54,13171,651,,90000000,2007-08-01
55,665,666,cash,255700000,2005-12-01
56,11,667,cash,700000000,2005-09-01
59,20,671,cash,48300000,2006-04-01
60,674,675,cash_and_stock,13000000,2006-05-30
61,59,678,cash,102000000,2006-01-01
63,20,681,cash,0,2007-04-01
64,694,693,cash,0,2007-05-17
65,146,698,cash,0,2007-08-01
66,59,708,cash,0,2007-05-29
67,156,718,cash,0,2007-08-01
69,754,752,cash,43000000,2005-08-01
70,629,807,cash,42000000,2007-06-01
71,351,648,cash,275000000,2007-07-24
72,823,822,cash,96800000,2007-07-01
73,826,825,cash,0,2007-07-01
74,838,837,cash,425000000,2005-09-01
75,840,841,cash,132000000,2005-08-01
76,840,758,cash,140500000,2005-06-01
77,845,844,cash,56000000,2006-09-01
79,851,850,cash,673600000,2005-12-01
81,848,854,cash,270000000,2005-01-01
84,988,551,cash,380000000,2007-09-24
85,29,997,cash,350000000,2007-09-01
87,1035,175,cash,0,2007-10-01
88,59,114,cash,12000000,2007-10-09
89,45,192,cash,18000000,2007-08-01
90,24,1059,cash,20000000,2007-10-01
91,1246,596,cash,45000000,2007-10-01
92,1247,596,cash,82000000,
93,596,596,cash,2500000,2002-01-01
95,29,145,cash_and_stock,0,2005-03-01
96,29,1238,cash,1000000,2005-10-05
97,351,1214,cash,363000000,2007-11-07
98,29,487,cash,300000000,2007-09-04
99,489,1288,cash,30000000,2007-08-01
100,1335,1334,cash,25000000,2007-11-01
101,1336,1337,stock,394000000,2007-10-01
103,1340,1341,cash,52000000,2007-10-01
104,1354,1353,cash,250000000,2007-10-01
106,845,3686,cash,20000000,2007-09-01
109,1081,1398,cash,0,2007-10-01
112,629,1413,cash,50000000,2006-02-01
113,590,1422,cash,0,2007-11-01
115,396,1582,cash,0,2007-12-01
116,350,1611,cash,50000000,1999-06-01
117,350,1606,cash,0,2006-08-15
118,1385,1384,cash,10000000,2005-02-01
119,1645,126,cash,180000000,2007-12-01
121,1242,1722,cash,50000000,2007-10-03
122,1727,1726,cash,120000000,2008-01-01
123,1438,1744,cash,15000000,2008-01-01
124,1504,1771,cash,100000000,2008-01-01
125,479,731,cash,1000000000,2008-01-01
126,185,1806,cash,265000000,2008-01-01
127,350,1385,cash,1850000000,2005-07-01
129,1878,1877,cash,10000000,2008-01-01
130,1896,907,cash,0,2008-01-01
132,59,49,,0,2006-10-31
134,1444,1409,,20000000,2007-11-01
135,317,1927,stock,250000000,1999-05-01
136,608,1925,cash_and_stock,11000000,2007-12-06
137,1735,602,cash,93700000,2004-05-01
138,1735,604,cash,86000000,2004-04-01
139,1735,1834,cash,61000000,2008-01-04
140,2042,2047,stock,0,2005-11-07
141,2042,2048,cash,0,2007-07-16
142,2042,2049,cash,150000,2007-10-01
143,2050,92,cash,29000000,2008-02-08
144,2050,2071,cash,0,2007-08-01
145,2050,2072,cash,0,2007-08-30
146,1336,2101,stock,65000000,2007-12-13
147,1336,2102,stock,51500000,2007-03-01
148,2050,2108,cash,0,2007-08-01
149,29,2149,,160000000,2008-01-31
151,59,7606,,0,2006-04-09
152,59,2181,,0,2003-04-01
154,489,2252,cash,10000000,2006-01-01
155,489,2253,cash_and_stock,0,2006-01-01
157,851,2270,stock,125000000,1997-07-28
158,489,2274,cash,5000000,2006-01-01
159,2275,2276,,0,2008-02-07
160,2312,2313,,0,2005-02-01
161,2312,2314,,0,2005-02-01
162,2312,2315,,0,2005-02-01
163,2312,2316,,0,2005-02-01
164,2312,2317,,0,2005-02-01
168,2312,171732,,0,2007-05-01
169,2312,2322,,0,2007-09-01
170,2358,402,,5000000,2008-02-14
171,1242,2372,cash,500000000,2008-02-11
173,1242,2428,,0,2008-01-21
175,1385,2501,,4000000,2001-09-01
176,1385,2502,stock,500000000,2000-02-01
177,20,2507,,310000000,2007-01-10
178,2602,2603,,155000000,2008-02-13
179,2618,2619,cash,0,2007-05-01
180,608,2664,,4500000,2007-11-01
181,258,413,cash_and_stock,0,2008-02-20
182,2720,2723,,0,2008-02-28
183,29,2731,cash,850000000,2007-04-01
185,2756,2757,,0,2008-02-28
186,2758,2756,,634000000,2007-04-12
187,2778,400,,0,2008-03-03
188,191,2793,stock,0,2008-03-03
189,2175,2820,,0,2004-03-04
190,2175,483,cash,240000000,2007-04-19
191,2175,680,,485000000,2005-12-14
193,2175,2822,,330000000,2005-05-05
194,760,524,cash,75000000,2008-03-04
195,2857,2856,,0,2007-10-23
196,2881,2880,,15000000,2008-03-01
197,45,1361,,100000000,2007-09-01
198,185,1216,,0,2001-03-09
199,350,185,,0,2003-01-01
201,966,2955,cash,0,2008-02-21
202,1242,2954,cash,0,2008-03-08
203,1873,2960,,0,2008-01-28
204,1516,2961,,0,2006-03-01
207,3063,1285,cash,150000000,2008-03-03
209,59,2195,,3100000000,2008-03-11
211,3104,3102,cash,500000000,2007-12-11
212,1242,3135,,0,2008-03-12
213,351,142,cash,850000000,2008-03-13
214,3165,3164,,7500000,2004-10-01
215,29,3209,cash,10000000,2007-01-09
216,351,1278,cash,0,2007-11-11
217,351,492,,0,2008-02-03
218,1242,2676,cash,25000000,2010-08-13
220,1242,3216,,0,2008-03-14
221,1242,3218,cash,6400000000,2007-05-18
222,351,613,,0,2007-05-01
223,351,3219,,0,2007-05-16
224,351,2046,cash,0,2005-10-16
225,351,3220,,0,2006-05-01
227,3253,3252,,45000000,2008-03-10
228,351,3257,cash,125000000,2008-02-01
229,3307,3306,cash,0,2007-12-01
230,3316,3315,cash,800000000,2008-03-17
231,2537,3535,,170000000,2008-01-01
233,694,3531,,0,2008-03-01
234,694,3579,,0,2007-06-01
235,45,2686,cash,0,2008-03-25
236,3619,827,,5000000,2008-04-01
237,3649,3648,,25000000,2008-03-01
238,3674,3673,cash,0,2007-01-01
239,200,3138,,0,2008-04-01
240,29,3963,,40000000,2008-02-04
242,757,3996,,0,2008-04-01
244,4010,4007,,45000000,2008-04-07
245,4060,4060,,0,2007-10-01
247,4199,4197,,0,2007-06-18
248,4247,4239,stock,0,2006-01-01
249,308,4249,stock,0,2008-04-10
250,3167,533,,200000000,2006-08-01
251,966,4270,,213000000,2008-04-08
252,4272,4279,,0,2008-04-10
254,2358,135,,3000000,2008-04-13
255,351,105,,25000000,2008-04-01
256,1242,128,,115000000,2008-04-17
257,445,4547,,0,2008-04-20
258,29,4632,,0,2006-10-02
259,3754,4636,stock,4750000,2003-01-22
262,304,4633,,260000000,2008-04-22
263,59,4731,cash_and_stock,50000000,2012-06-27
265,3828,217,,0,2007-12-01
267,4797,4794,cash,300000000,2008-04-28
268,4804,522,,6000000,2008-04-29
270,4818,196,,0,2008-01-30
271,3827,4819,,35000000000,2005-08-15
