id,object_id,degree_type,subject
1,p:6117,MBA,
2,p:6136,BA,"English, French"
3,p:6136,MS,Mass Communication
4,p:6005,MS,Internet Technology
5,p:5832,BCS,"Computer Science, Psychology"
6,p:1017,BS,Computer Science
7,p:6176,BS,Computer Science
8,p:5412,MS,Politics
9,p:1243,BA,International Business & Marketing
10,p:6265,BS,Economics
11,p:6328,Foundation,Computing and Internet Technology
12,p:6329,MA,Physics & Philosophy
13,p:2351,LLB,Law
14,p:2351,BA,Economics
15,p:5471,MS,Media & Knowledge Engineering
16,p:2005,PhD,Finance
17,p:6453,MBA,
18,p:6453,BA,"History, Political Science"
19,p:5991,BFA,"Computer Science, Photography"
20,p:1017,MBA,"Entrepreneurship, Finance"
21,p:6497,BS,Engineering and Applied Science
22,p:6497,MS,Computer Science
23,p:174,BA,Political Science
24,p:3791,BA,Social Studies
25,p:6496,BS,Computer Science & Engineering
26,p:6496,MS,Computer Science Software Engineering
27,p:6536,BA,Computer Science
28,p:6559,BA,"Communications, Publishing, Social Anthropology"
29,p:6579,BE,EE
30,p:6591,MBA With Honors,Entrepreneurial Management
31,p:5507,MBA,Business Administration
32,p:179,BS,Engineering
33,p:2574,PhD,Electrical Engineering
34,p:6611,BS,psychology
35,p:6614,BS,Psychology
36,p:6614,BS,criminal jusitce
37,p:3595,BS,Computer Science & Business
38,p:6263,BS,Administration in Management/Marketing
39,p:5553,BA,Film and Television
40,p:219,BS,Computer Science
41,p:6659,BS,Linguistics
42,p:6660,BS,Civil Engineering
43,p:6660,MBA,
44,p:6678,BS,Computer Engineering
45,p:6700,BA,"Anthropology, English"
46,p:5058,BS,Boston College
47,p:2216,,Management Science
48,p:2216,BS,Computer Science
49,p:6729,BA (Hons) First Class,Media and Communication
50,p:5918,BS,Organizational Leadership & Information Technology
51,p:5920,BS,Mathematics
52,p:5920,PhD,Computer Science
53,p:6135,BS,Physics
54,p:2371,BE,Electrical Engineering and Computer Science
55,p:2371,BA,Psychology
56,p:2279,BA,ISF
57,p:2834,BS,
